edge_key	source_node	edge_type	target_node	geneset_similarity
GO:0045138_is_a_GO:0090598	GO:0045138	is_a	GO:0090598	0.9879518072289156
GO:0005876_is_a_GO:0005874	GO:0005876	is_a	GO:0005874	0.25609756097560976
GO:0031330_is_a_GO:0009895	GO:0031330	is_a	GO:0009895	1.0
GO:0042177_is_a_GO:0009895	GO:0042177	is_a	GO:0009895	0.7692307692307693
GO:0030864_is_a_GO:0030863	GO:0030864	is_a	GO:0030863	1.0
GO:0030262_is_a_GO:0006921	GO:0030262	is_a	GO:0006921	1.0
GO:0046928_is_a_GO:0051588	GO:0046928	is_a	GO:0051588	1.0
GO:0097499_is_a_GO:0061512	GO:0097499	is_a	GO:0061512	0.6956521739130435
GO:0006309_part_of_GO:0030262	GO:0006309	part_of	GO:0030262	1.0
GO:0050770_is_a_GO:0010769	GO:0050770	is_a	GO:0010769	0.84375
GO:0006805_part_of_GO:0071466	GO:0006805	part_of	GO:0071466	1.0
GO:0005802_is_a_GO:0098791	GO:0005802	is_a	GO:0098791	0.3404255319148936
GO:0031985_is_a_GO:0098791	GO:0031985	is_a	GO:0098791	0.5957446808510638
GO:0005795_is_a_GO:0098791	GO:0005795	is_a	GO:0098791	0.7021276595744681
